SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Population,Plant,Top or Bottom,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,13:10:17,2025-03-11,Petal_2025_low,glb and ks,,,001,,0.007590,1.895548,0.007560,0.067517,0.907017,0.903274,1.793302,0.886285,8.979978,9.017193,17.828279,0.441786,7.500000,52.68,52.46,15.10,15.73,15.73,100.59,79.4,79.5,-0.1,590,4.146,13:09:53,2025-03-11,-0.48,1,0.000,0.001,-0.005,-0.009,-0.020,-0.041,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.486317,2.525244,1.059346,0.757055,0.405874,0.008649,0.051793,0.624029,44.371605,0.000137,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
2,13:10:47,2025-03-11,Petal_2025_low,glb and ks,,,002,,0.005532,1.903869,0.005515,0.049841,0.912091,0.909343,1.808985,0.896893,9.038138,9.065454,17.979855,0.441786,7.500000,52.53,52.37,15.23,15.86,15.86,100.61,79.9,79.7,0.3,96,4.146,13:09:53,2025-03-11,-0.48,1,-0.001,-0.001,0.001,-0.006,-0.019,-0.033,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.486164,2.524999,1.062369,0.757324,0.403752,0.008693,0.054673,0.191508,43.834805,0.000138,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
3,13:11:16,2025-03-11,Petal_2025_low,glb and ks,,,003,,0.001573,1.897326,0.001571,0.014614,0.900474,0.899665,1.823514,0.923039,8.941213,8.949259,18.122778,0.441786,7.500000,51.40,51.35,15.36,15.99,15.99,100.62,79.5,79.4,0.1,1267,4.145,13:09:53,2025-03-11,-0.48,1,0.001,0.001,-0.002,-0.005,-0.013,-0.029,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.484703,2.523322,1.059991,0.756827,0.401493,0.008517,0.057497,1.218315,43.405296,0.000136,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
4,13:11:46,2025-03-11,Petal_2025_low,glb and ks,,,004,,0.001765,1.888352,0.001763,0.016222,0.934708,0.933804,1.847582,0.912873,9.280320,9.289303,18.361607,0.441786,7.500000,52.85,52.79,15.51,16.20,16.20,100.62,79.0,79.4,-0.5,50,4.144,13:09:53,2025-03-11,-0.48,1,-0.001,-0.000,0.002,-0.006,-0.013,-0.024,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.486691,2.525391,1.056745,0.756828,0.399104,0.009118,0.060456,0.150661,43.021919,0.000138,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
5,13:12:45,2025-03-11,Petal_2025_low,glb and ks,,,005,,0.004648,1.894089,0.004637,0.040329,0.948752,0.946514,1.811883,0.863131,9.407074,9.429316,18.007673,0.441786,7.500000,52.76,52.64,15.77,15.89,15.89,100.62,79.3,80.2,-1.0,783,4.143,13:09:53,2025-03-11,-0.48,1,-0.000,0.001,-0.001,-0.006,-0.008,-0.020,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.486410,2.525206,1.058818,0.758371,0.394982,0.002928,0.066241,0.793939,42.398571,0.000136,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
6,13:13:09,2025-03-11,Petal_2025_low,glb and ks,,,006,,0.003306,1.901695,0.003300,0.029015,0.951980,0.950379,1.824388,0.872407,9.444992,9.460911,18.131014,0.441786,7.500000,52.59,52.50,15.88,16.00,16.00,100.62,79.8,79.3,0.6,50,4.141,13:09:53,2025-03-11,-0.48,1,0.001,0.000,0.003,-0.003,-0.010,-0.016,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.486192,2.524928,1.061578,0.756588,0.393316,0.002937,0.068559,0.150755,42.206882,0.000139,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
7,13:14:17,2025-03-11,Petal_2025_low,glb and ks,,,007,,0.001645,1.897712,0.001643,0.015806,0.970869,0.969995,1.924666,0.953797,9.641017,9.649711,19.129732,0.441786,7.500000,53.36,53.31,15.96,16.84,16.84,100.61,79.5,79.8,-0.3,1754,4.141,13:09:53,2025-03-11,-0.48,1,0.001,-0.000,-0.005,-0.005,-0.006,-0.012,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.487305,2.526024,1.060131,0.757524,0.392052,0.011248,0.075281,1.645169,41.705849,0.000143,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
8,13:14:36,2025-03-11,Petal_2025_low,glb and ks,,,008,,0.002411,1.896885,0.002408,0.021422,0.967507,0.966321,1.850010,0.882503,9.604288,9.616077,18.387295,0.441786,7.500000,52.98,52.92,16.01,16.22,16.22,100.61,79.5,80.0,-0.6,1370,4.140,13:09:53,2025-03-11,-0.48,1,-0.000,-0.000,-0.000,-0.005,-0.006,-0.012,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.486750,2.525473,1.059831,0.757953,0.391183,0.003821,0.077062,1.308534,41.591049,0.000141,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
